,ID,Case Number,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,SplitDate,Time,AM/PM,SplitMonth,SplitDay,SplitYear
68,10757387,HZ520251,038XX W 55TH ST,031A,ROBBERY,ARMED: HANDGUN,SMALL RETAIL STORE,FALSE,FALSE,822,8,23,62,3,1151880,1867858,2016,11/25/2016 03:52:04 PM,41.79327152,-87.718609,"(41.793271516, -87.718608995)",11/18/2016,11:45:00,AM,11,18,2016
69,10757388,HZ520398,006XX N MICHIGAN AVE,870,THEFT,POCKET-PICKING,SIDEWALK,FALSE,FALSE,1834,18,42,8,6,1177327,1904307,2016,11/25/2016 03:52:04 PM,41.89275303,-87.6241939,"(41.892753031, -87.624193896)",11/18/2016,1:20:00,PM,11,18,2016
70,10757389,HZ520366,064XX S TALMAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,FALSE,TRUE,825,8,15,66,14,1159816,1861884,2016,11/25/2016 03:52:04 PM,41.77671863,-87.68967221,"(41.776718629, -87.689672213)",11/18/2016,12:55:00,PM,11,18,2016
71,10757390,HZ520391,048XX W BELMONT AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,FALSE,FALSE,1634,16,30,15,26,1143622,1920840,2016,11/25/2016 03:52:04 PM,41.93881902,-87.74756509,"(41.938819016, -87.74756509)",11/18/2016,1:07:00,PM,11,18,2016
72,10757398,HZ520199,124XX S LOWE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,TRUE,523,5,34,53,14,1174237,1822427,2016,11/25/2016 03:52:04 PM,41.66813479,-87.63797384,"(41.668134793, -87.637973842)",11/18/2016,10:30:00,AM,11,18,2016
73,10757404,HZ520373,067XX S RIDGELAND AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,332,3,5,43,5,1189026,1860651,2016,11/25/2016 03:52:04 PM,41.77268533,-87.58263002,"(41.77268533, -87.582630022)",11/18/2016,10:30:00,AM,11,18,2016
74,10757405,HZ520240,015XX S LAWNDALE AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,1014,10,24,29,08A,1151960,1892197,2016,11/25/2016 03:52:04 PM,41.8600594,-87.71767607,"(41.860059396, -87.71767607)",11/18/2016,9:30:00,AM,11,18,2016
75,10757406,HZ520403,031XX N CHRISTIANA AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1412,14,35,21,7,1153511,1920594,2016,11/25/2016 03:52:04 PM,41.9379528,-87.71122686,"(41.937952797, -87.71122686)",11/18/2016,3:00:00,AM,11,18,2016
76,10757407,HZ520294,044XX N BROADWAY,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,FALSE,1913,19,46,3,6,1168469,1929861,2016,11/25/2016 03:52:04 PM,41.96307079,-87.65598421,"(41.963070794, -87.655984213)",11/18/2016,11:46:00,AM,11,18,2016
77,10757409,HZ520214,023XX S RIDGEWAY AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,SIDEWALK,FALSE,FALSE,1013,10,22,30,26,1151742,1888187,2016,11/25/2016 03:52:04 PM,41.84905976,-87.71858168,"(41.849059762, -87.71858168)",11/18/2016,8:45:00,AM,11,18,2016
78,10757412,HZ520367,019XX S SPAULDING AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1022,10,24,29,08B,1154671,1890289,2016,11/25/2016 03:52:04 PM,41.85476985,-87.70777568,"(41.854769852, -87.707775684)",11/18/2016,12:45:00,PM,11,18,2016
79,10757420,HZ520444,072XX S ARTESIAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,TRUE,832,8,18,66,14,1161294,1856629,2016,11/25/2016 03:52:04 PM,41.76226768,-87.68439925,"(41.762267676, -87.684399247)",11/18/2016,1:50:00,PM,11,18,2016
